time	V(ausgang)
4.966210937500000e-004	6.742648e-001
4.990234375000000e-004	6.777775e-001
4.994927455357144e-004	6.785583e-001
4.999620535714288e-004	6.793748e-001
5.004313616071432e-004	6.802271e-001
5.009006696428575e-004	6.811150e-001
5.013699776785719e-004	6.820387e-001
5.018392857142863e-004	6.829981e-001
5.023085937500007e-004	6.839932e-001
5.032851562500007e-004	6.861342e-001
5.040234375000000e-004	6.878446e-001
5.052929687500000e-004	6.909226e-001
5.072739955357142e-004	6.963010e-001
5.092550223214286e-004	7.019675e-001
5.112360491071428e-004	7.079221e-001
5.132170758928572e-004	7.141649e-001
5.151981026785714e-004	7.206958e-001
5.171791294642857e-004	7.275148e-001
5.191601562500000e-004	7.346219e-001
5.220898437500000e-004	7.434732e-001
5.250195312500000e-004	7.497202e-001
5.269726562500000e-004	7.518680e-001
5.279492187500000e-004	7.522622e-001
5.289257812500000e-004	7.521935e-001
5.299023437500000e-004	7.516673e-001
5.318554687500000e-004	7.493155e-001
5.338085937500000e-004	7.454398e-001
5.367382812500000e-004	7.375391e-001
5.396679687500000e-004	7.283245e-001
5.425976562500000e-004	7.189428e-001
5.455273437500000e-004	7.101017e-001
5.484570312500000e-004	7.020992e-001
5.513867187500000e-004	6.949828e-001
5.519447544642857e-004	6.937245e-001
5.525027901785714e-004	6.924930e-001
5.530608258928571e-004	6.912884e-001
5.536188616071429e-004	6.901106e-001
5.541768973214286e-004	6.889596e-001
5.547349330357143e-004	6.878354e-001
5.552929687500000e-004	6.867381e-001
5.564648437500000e-004	6.845555e-001
5.574414062500000e-004	6.828444e-001
5.584179687500000e-004	6.812335e-001
5.590234375000001e-004	6.803056e-001
5.602929687500000e-004	6.785075e-001
5.619949776785715e-004	6.765573e-001
5.636969866071429e-004	6.748587e-001
5.653989955357144e-004	6.734115e-001
5.671010044642857e-004	6.722159e-001
5.688030133928571e-004	6.712718e-001
5.705050223214286e-004	6.705793e-001
5.722070312500000e-004	6.701382e-001
5.741601562500000e-004	6.697910e-001
5.751367187500000e-004	6.697048e-001
5.761132812500000e-004	6.696755e-001
5.770898437500000e-004	6.697025e-001
5.780664062500000e-004	6.697851e-001
5.800195312500000e-004	6.701176e-001
5.819726562500000e-004	6.706750e-001
5.849023437500000e-004	6.719488e-001
5.878320312500000e-004	6.737892e-001
5.907617187500000e-004	6.762742e-001
5.936914062500000e-004	6.795304e-001
5.966210937500000e-004	6.837629e-001
5.971467633928572e-004	6.846278e-001
5.976724330357144e-004	6.855471e-001
5.981981026785716e-004	6.865208e-001
5.987237723214287e-004	6.875490e-001
5.992494419642859e-004	6.886316e-001
5.997751116071431e-004	6.897687e-001
6.003007812500003e-004	6.909602e-001
6.013320312500007e-004	6.935364e-001
6.023085937500007e-004	6.961855e-001
6.032851562500007e-004	6.990232e-001
6.040234375000001e-004	7.013162e-001
6.052929687500000e-004	7.054847e-001
6.068554687500001e-004	7.113373e-001
6.084179687500000e-004	7.174087e-001
6.099804687500001e-004	7.236990e-001
6.115429687500000e-004	7.302081e-001
6.131054687500000e-004	7.369361e-001
6.146679687500000e-004	7.438829e-001
6.162304687500000e-004	7.510486e-001
6.191601562500000e-004	7.618954e-001
6.220898437500000e-004	7.687762e-001
6.230664062500000e-004	7.699552e-001
6.240429687500000e-004	7.705343e-001
6.250195312500000e-004	7.705070e-001
6.259960937500000e-004	7.698791e-001
6.279492187500000e-004	7.669052e-001
6.299023437500000e-004	7.618921e-001
6.328320312500000e-004	7.515430e-001
6.357617187500000e-004	7.394761e-001
6.386914062500000e-004	7.274129e-001
6.416210937500001e-004	7.163940e-001
6.445507812500001e-004	7.067609e-001
6.474804687500001e-004	6.984619e-001
6.485965401785715e-004	6.956408e-001
6.497126116071430e-004	6.929480e-001
6.508286830357144e-004	6.903833e-001
6.519447544642858e-004	6.879469e-001
6.530608258928572e-004	6.856386e-001
6.541768973214287e-004	6.834585e-001
6.552929687500001e-004	6.814067e-001
6.564648437500000e-004	6.793751e-001
6.574414062500000e-004	6.777828e-001
6.584179687500000e-004	6.762831e-001
6.590234375000001e-004	6.754180e-001
6.602929687500001e-004	6.737381e-001
6.619949776785715e-004	6.719015e-001
6.636969866071430e-004	6.702971e-001
6.653989955357144e-004	6.689249e-001
6.671010044642857e-004	6.677850e-001
6.688030133928572e-004	6.668773e-001
6.705050223214286e-004	6.662019e-001
6.722070312500001e-004	6.657587e-001
6.741601562500001e-004	6.654012e-001
6.751367187500001e-004	6.653039e-001
6.761132812500001e-004	6.652598e-001
6.770898437500001e-004	6.652678e-001
6.780664062500001e-004	6.653277e-001
6.800195312500001e-004	6.656020e-001
6.819726562500001e-004	6.660836e-001
6.849023437500001e-004	6.672060e-001
6.878320312500001e-004	6.688402e-001
6.907617187500001e-004	6.710460e-001
6.936914062500001e-004	6.739207e-001
6.966210937500001e-004	6.776190e-001
6.971467633928572e-004	6.783710e-001
6.976724330357145e-004	6.791664e-001
6.981981026785716e-004	6.800050e-001
6.987237723214288e-004	6.808868e-001
6.992494419642859e-004	6.818119e-001
6.997751116071432e-004	6.827803e-001
7.003007812500003e-004	6.837919e-001
7.013320312500008e-004	6.859588e-001
7.023085937500008e-004	6.881684e-001
7.032851562500008e-004	6.905173e-001
7.040234375000000e-004	6.924001e-001
7.052929687500000e-004	6.957980e-001
7.071344866071428e-004	7.013640e-001
7.089760044642857e-004	7.071827e-001
7.108175223214285e-004	7.132543e-001
7.126590401785714e-004	7.195787e-001
7.145005580357143e-004	7.261559e-001
7.163420758928571e-004	7.329859e-001
7.181835937500000e-004	7.400688e-001
7.211132812500000e-004	7.492911e-001
7.240429687500000e-004	7.554229e-001
7.259960937500000e-004	7.572228e-001
7.269726562500000e-004	7.573730e-001
7.279492187500000e-004	7.570211e-001
7.289257812500000e-004	7.561793e-001
7.308789062500000e-004	7.531266e-001
7.328320312500000e-004	7.485067e-001
7.357617187500000e-004	7.395347e-001
7.386914062500000e-004	7.294365e-001
7.416210937500000e-004	7.194207e-001
7.445507812500000e-004	7.101696e-001
7.474804687500000e-004	7.019187e-001
7.504101562500000e-004	6.946583e-001
7.523632812500000e-004	6.903179e-001
7.528376116071429e-004	6.893150e-001
7.533119419642857e-004	6.883326e-001
7.537862723214285e-004	6.873708e-001
7.542606026785714e-004	6.864294e-001
7.547349330357143e-004	6.855085e-001
7.552092633928571e-004	6.846081e-001
7.556835937500000e-004	6.837282e-001
7.564648437500000e-004	6.823373e-001
7.574414062500000e-004	6.806832e-001
7.584179687500000e-004	6.791255e-001
7.590234375000000e-004	6.782276e-001
7.602929687500000e-004	6.764861e-001
7.619949776785715e-004	6.745907e-001
7.636969866071429e-004	6.729380e-001
7.653989955357143e-004	6.715280e-001
7.671010044642857e-004	6.703608e-001
7.688030133928571e-004	6.694363e-001
7.705050223214286e-004	6.687545e-001
7.722070312500000e-004	6.683155e-001
7.741601562500000e-004	6.679673e-001
7.751367187500000e-004	6.678781e-001
7.761132812500000e-004	6.678441e-001
7.770898437500000e-004	6.678646e-001
7.780664062500000e-004	6.679391e-001
7.800195312500000e-004	6.682497e-001
7.819726562500000e-004	6.687778e-001
7.849023437500000e-004	6.699914e-001
7.878320312500000e-004	6.717483e-001
7.907617187500000e-004	6.741185e-001
7.936914062500000e-004	6.772162e-001
7.966210937500000e-004	6.812243e-001
7.971467633928572e-004	6.820417e-001
7.976724330357144e-004	6.829085e-001
7.981981026785716e-004	6.838249e-001
7.987237723214287e-004	6.847909e-001
7.992494419642858e-004	6.858064e-001
7.997751116071431e-004	6.868715e-001
8.003007812500002e-004	6.879861e-001
8.013320312500007e-004	6.903865e-001
8.023085937500007e-004	6.928462e-001
8.032851562500007e-004	6.954725e-001
8.040234375000001e-004	6.975877e-001
8.052929687500000e-004	7.014215e-001
8.069949776785715e-004	7.072840e-001
8.086969866071429e-004	7.133825e-001
8.103989955357144e-004	7.197172e-001
8.121010044642857e-004	7.262879e-001
8.138030133928571e-004	7.330948e-001
8.155050223214286e-004	7.401377e-001
8.172070312500000e-004	7.474167e-001
8.201367187500000e-004	7.574291e-001
8.230664062500000e-004	7.637287e-001
8.240429687500000e-004	7.647863e-001
8.250195312500000e-004	7.652830e-001
8.259960937500000e-004	7.652131e-001
8.269726562500000e-004	7.645831e-001
8.289257812500000e-004	7.617270e-001
8.308789062500000e-004	7.569891e-001
8.338085937500000e-004	7.473024e-001
8.367382812500000e-004	7.360641e-001
8.396679687500000e-004	7.248093e-001
8.425976562500000e-004	7.144558e-001
8.455273437500000e-004	7.053210e-001
8.484570312500000e-004	6.973816e-001
8.494335937500000e-004	6.949929e-001
8.504101562500000e-004	6.926980e-001
8.513867187500000e-004	6.904968e-001
8.523632812500000e-004	6.883893e-001
8.533398437500000e-004	6.863754e-001
8.543164062500000e-004	6.844553e-001
8.552929687500000e-004	6.826289e-001
8.564648437500000e-004	6.805626e-001
8.574414062500000e-004	6.789432e-001
8.584179687500000e-004	6.774180e-001
8.590234375000001e-004	6.765385e-001
8.602929687500001e-004	6.748315e-001
8.619949776785715e-004	6.729686e-001
8.636969866071429e-004	6.713423e-001
8.653989955357144e-004	6.699526e-001
8.671010044642857e-004	6.687994e-001
8.688030133928572e-004	6.678827e-001
8.705050223214286e-004	6.672027e-001
8.722070312500000e-004	6.667591e-001
8.741601562500001e-004	6.664029e-001
8.751367187500001e-004	6.663077e-001
8.761132812500001e-004	6.662663e-001
8.770898437500001e-004	6.662780e-001
8.780664062500001e-004	6.663424e-001
8.800195312500001e-004	6.666285e-001
8.819726562500001e-004	6.671257e-001
8.849023437500001e-004	6.682795e-001
8.878320312500001e-004	6.699566e-001
8.907617187500001e-004	6.722205e-001
8.936914062500001e-004	6.751744e-001
8.966210937500001e-004	6.789829e-001
8.971467633928572e-004	6.797582e-001
8.976724330357145e-004	6.805790e-001
8.981981026785716e-004	6.814452e-001
8.987237723214287e-004	6.823569e-001
8.992494419642859e-004	6.833140e-001
8.997751116071431e-004	6.843166e-001
9.003007812500003e-004	6.853647e-001
9.013320312500008e-004	6.876140e-001
9.023085937500008e-004	6.899117e-001
9.032851562500008e-004	6.923580e-001
9.040234375000001e-004	6.943220e-001
9.052929687500001e-004	6.978720e-001
9.069949776785715e-004	7.032105e-001
9.086969866071430e-004	7.087974e-001
9.103989955357144e-004	7.146326e-001
9.121010044642857e-004	7.207162e-001
9.138030133928572e-004	7.270481e-001
9.155050223214286e-004	7.336284e-001
9.172070312500001e-004	7.404571e-001
9.201367187500001e-004	7.504135e-001
9.230664062500001e-004	7.573657e-001
9.250195312500001e-004	7.596853e-001
9.259960937500001e-004	7.600704e-001
9.269726562500001e-004	7.599301e-001
9.279492187500001e-004	7.592721e-001
9.299023437500001e-004	7.564888e-001
9.318554687500001e-004	7.519912e-001
9.347851562500001e-004	7.429271e-001
9.377148437500001e-004	7.324859e-001
9.406445312500001e-004	7.220193e-001
9.435742187500001e-004	7.123266e-001
9.465039062500001e-004	7.036985e-001
9.494335937500001e-004	6.961338e-001
9.502706473214287e-004	6.941621e-001
9.511077008928572e-004	6.922554e-001
9.519447544642858e-004	6.904136e-001
