time	V(receiver)
1.865234374506603e-006	-1.267377e+000
1.874999999506603e-006	-1.298973e+000
1.884765624506603e-006	-1.325548e+000
1.894531249506603e-006	-1.347185e+000
1.914062499506603e-006	-1.376144e+000
1.933593749506603e-006	-1.387009e+000
1.953124999506603e-006	-1.380989e+000
1.962890624506603e-006	-1.371971e+000
1.972656249506603e-006	-1.359076e+000
1.982421874506603e-006	-1.342368e+000
2.001953124506604e-006	-1.297627e+000
2.021484374506604e-006	-1.237744e+000
2.041015624506604e-006	-1.162460e+000
2.060546874506604e-006	-1.071486e+000
2.070312499506604e-006	-1.020084e+000
2.080078124506604e-006	-9.647769e-001
2.089843749506604e-006	-9.056396e-001
2.099609374506604e-006	-8.427910e-001
2.109374999506604e-006	-7.763981e-001
2.119140624506604e-006	-7.066783e-001
2.128906249506604e-006	-6.338990e-001
2.138671874506604e-006	-5.583757e-001
2.148437499506604e-006	-4.804685e-001
2.158203124506604e-006	-4.005763e-001
2.167968749506604e-006	-3.191300e-001
2.177734374506604e-006	-2.365843e-001
2.197265624506604e-006	-7.007786e-002
2.207031249506604e-006	1.293751e-002
2.216796874506604e-006	9.518009e-002
2.226562499506604e-006	1.762142e-001
2.236328124506604e-006	2.556330e-001
2.246093749506604e-006	3.330649e-001
2.255859374506604e-006	4.081776e-001
2.265624999506604e-006	4.806809e-001
2.275390624506604e-006	5.503278e-001
2.285156249506604e-006	6.169137e-001
2.294921874506604e-006	6.802743e-001
2.304687499506604e-006	7.402815e-001
2.314453124506604e-006	7.968385e-001
2.324218749506604e-006	8.498743e-001
2.333984374506604e-006	8.993365e-001
2.343749999506604e-006	9.451853e-001
2.353515624506604e-006	9.873866e-001
2.363281249506604e-006	1.025906e+000
2.373046874506605e-006	1.060703e+000
2.382812499506605e-006	1.091727e+000
2.392578124506605e-006	1.118915e+000
2.402343749506605e-006	1.142188e+000
2.412109374506605e-006	1.161453e+000
2.421874999506605e-006	1.176601e+000
2.431640624506605e-006	1.187513e+000
2.441406249506605e-006	1.194063e+000
2.451171874506605e-006	1.196121e+000
2.470703124506605e-006	1.186266e+000
2.490234374506605e-006	1.157091e+000
2.499999999506605e-006	1.135084e+000
2.509765624506605e-006	1.108099e+000
2.519531249506605e-006	1.076158e+000
2.529296874506605e-006	1.039326e+000
2.539062499506605e-006	9.977142e-001
2.548828124506605e-006	9.514745e-001
2.558593749506605e-006	9.008054e-001
2.568359374506605e-006	8.459460e-001
2.578124999506605e-006	7.871739e-001
2.587890624506605e-006	7.248003e-001
2.597656249506605e-006	6.591647e-001
2.607421874506605e-006	5.906278e-001
2.617187499506605e-006	5.195657e-001
2.626953124506605e-006	4.463622e-001
2.636718749506605e-006	3.714028e-001
2.646484374506605e-006	2.950676e-001
2.656249999506605e-006	2.177260e-001
2.666015624506605e-006	1.397316e-001
2.675781249506605e-006	6.141842e-002
2.685546874506605e-006	-1.690183e-002
2.695312499506605e-006	-9.494124e-002
2.705078124506605e-006	-1.724360e-001
2.714843749506605e-006	-2.491457e-001
2.734374999506605e-006	-3.993515e-001
2.753906249506605e-006	-5.440064e-001
2.763671874506606e-006	-6.138187e-001
2.773437499506606e-006	-6.817333e-001
2.783203124506606e-006	-7.475837e-001
2.792968749506606e-006	-8.111987e-001
2.802734374506606e-006	-8.723992e-001
2.812499999506606e-006	-9.309966e-001
2.822265624506606e-006	-9.867916e-001
2.832031249506606e-006	-1.039574e+000
2.841796874506606e-006	-1.089124e+000
2.851562499506606e-006	-1.135214e+000
2.871093749506606e-006	-1.216088e+000
2.890624999506606e-006	-1.280355e+000
2.910156249506606e-006	-1.326317e+000
2.919921874506606e-006	-1.341980e+000
2.929687499506606e-006	-1.352572e+000
2.939453124506606e-006	-1.357991e+000
2.949218749506606e-006	-1.358167e+000
2.958984374506606e-006	-1.353069e+000
2.968749999506606e-006	-1.342705e+000
2.978515624506606e-006	-1.327120e+000
2.988281249506606e-006	-1.306399e+000
2.998046874506606e-006	-1.280661e+000
3.007812499506606e-006	-1.250060e+000
3.017578124506606e-006	-1.214780e+000
3.037109374506606e-006	-1.131036e+000
3.056640624506606e-006	-1.031323e+000
3.076171874506606e-006	-9.177233e-001
3.095703124506606e-006	-7.923650e-001
3.115234374506606e-006	-6.573182e-001
3.134765624506606e-006	-5.145344e-001
3.144531249506607e-006	-4.408152e-001
3.154296874506607e-006	-3.658373e-001
3.164062499506607e-006	-2.898148e-001
3.173828124506607e-006	-2.129606e-001
3.183593749506607e-006	-1.354887e-001
3.193359374506607e-006	-5.761724e-002
3.203124999506607e-006	2.042954e-002
3.212890624506607e-006	9.841849e-002
3.222656249506607e-006	1.761061e-001
3.232421874506607e-006	2.532373e-001
3.242187499506607e-006	3.295448e-001
3.251953124506607e-006	4.047494e-001
3.261718749506607e-006	4.785611e-001
3.271484374506607e-006	5.506806e-001
3.281249999506607e-006	6.208017e-001
3.291015624506607e-006	6.886146e-001
3.300781249506607e-006	7.538092e-001
3.320312499506607e-006	8.751267e-001
3.330078124506607e-006	9.306648e-001
3.339843749506607e-006	9.824238e-001
3.349609374506607e-006	1.030154e+000
3.359374999506607e-006	1.073629e+000
3.369140624506607e-006	1.112649e+000
3.378906249506607e-006	1.147044e+000
3.388671874506607e-006	1.176673e+000
3.398437499506607e-006	1.201428e+000
3.408203124506607e-006	1.221231e+000
3.417968749506607e-006	1.236037e+000
3.427734374506607e-006	1.245829e+000
3.437499999506607e-006	1.250617e+000
3.457031249506607e-006	1.245355e+000
3.476562499506607e-006	1.220799e+000
3.496093749506607e-006	1.177762e+000
3.515624999506607e-006	1.117233e+000
3.535156249506608e-006	1.040306e+000
3.554687499506608e-006	9.481318e-001
3.574218749506608e-006	8.419125e-001
3.593749999506608e-006	7.229243e-001
3.613281249506608e-006	5.925624e-001
3.632812499506608e-006	4.523967e-001
3.642578124506608e-006	3.791883e-001
3.652343749506608e-006	3.042211e-001
3.662109374506608e-006	2.277594e-001
3.671874999506608e-006	1.500835e-001
3.681640624506608e-006	7.148903e-002
3.691406249506608e-006	-7.714471e-003
3.701171874506608e-006	-8.720542e-002
3.710937499506608e-006	-1.666526e-001
3.720703124506608e-006	-2.457182e-001
3.730468749506608e-006	-3.240606e-001
