rload	V(out)	I(R433)
9.549925860214483e-027	5.623788e-026	5.888829e+000
1.000000000000013e-026	5.888829e-026	5.888829e+000
1.047128548050913e-026	6.166361e-026	5.888829e+000
1.096478196143200e-026	6.456973e-026	5.888829e+000
1.148153621496898e-026	6.761280e-026	5.888829e+000
1.202264434617429e-026	7.079929e-026	5.888829e+000
1.258925411794184e-026	7.413596e-026	5.888829e+000
1.318256738556425e-026	7.762988e-026	5.888829e+000
1.380384264602904e-026	8.128847e-026	5.888829e+000
1.445439770745947e-026	8.511947e-026	5.888829e+000
1.513561248436229e-026	8.913103e-026	5.888829e+000
1.584893192461135e-026	9.333165e-026	5.888829e+000
1.659586907437584e-026	9.773023e-026	5.888829e+000
1.737800828749400e-026	1.023361e-025	5.888829e+000
1.819700858610009e-026	1.071591e-025	5.888829e+000
1.905460717963274e-026	1.122093e-025	5.888829e+000
1.995262314968908e-026	1.174976e-025	5.888829e+000
2.089296130854070e-026	1.230351e-025	5.888829e+000
2.187761623949584e-026	1.288335e-025	5.888829e+000
2.290867652767806e-026	1.349053e-025	5.888829e+000
2.398832919019525e-026	1.412632e-025	5.888829e+000
2.511886431509617e-026	1.479207e-025	5.888829e+000
2.630267991895420e-026	1.548920e-025	5.888829e+000
2.754228703338207e-026	1.621918e-025	5.888829e+000
2.884031503126649e-026	1.698357e-025	5.888829e+000
3.019951720402061e-026	1.778398e-025	5.888829e+000
3.162277660168426e-026	1.862211e-025	5.888829e+000
3.311311214825961e-026	1.949975e-025	5.888829e+000
3.467368504525369e-026	2.041874e-025	5.888829e+000
3.630780547701069e-026	2.138104e-025	5.888829e+000
3.801893963205670e-026	2.238870e-025	5.888829e+000
3.981071705535034e-026	2.344385e-025	5.888829e+000
4.168693834703419e-026	2.454873e-025	5.888829e+000
4.365158322401728e-026	2.570567e-025	5.888829e+000
4.570881896148822e-026	2.691714e-025	5.888829e+000
4.786300923226459e-026	2.818571e-025	5.888829e+000
5.011872336272802e-026	2.951406e-025	5.888829e+000
5.248074602497810e-026	3.090501e-025	5.888829e+000
5.495408738576334e-026	3.236152e-025	5.888829e+000
5.754399373371662e-026	3.388667e-025	5.888829e+000
6.025595860743675e-026	3.548370e-025	5.888829e+000
6.309573444802034e-026	3.715600e-025	5.888829e+000
6.606934480076067e-026	3.890711e-025	5.888829e+000
6.918309709189478e-026	4.074074e-025	5.888829e+000
7.244359600750020e-026	4.266079e-025	5.888829e+000
7.585775750291963e-026	4.467133e-025	5.888829e+000
7.943282347242947e-026	4.677663e-025	5.888829e+000
8.317637711026849e-026	4.898115e-025	5.888829e+000
8.709635899560953e-026	5.128956e-025	5.888829e+000
9.120108393559251e-026	5.370676e-025	5.888829e+000
9.549925860214521e-026	5.623788e-025	5.888829e+000
1.000000000000017e-025	5.888829e-025	5.888829e+000
1.047128548050917e-025	6.166361e-025	5.888829e+000
1.096478196143204e-025	6.456972e-025	5.888829e+000
1.148153621496903e-025	6.761280e-025	5.888829e+000
1.202264434617434e-025	7.079929e-025	5.888829e+000
1.258925411794189e-025	7.413596e-025	5.888829e+000
1.318256738556430e-025	7.762988e-025	5.888829e+000
1.380384264602909e-025	8.128847e-025	5.888829e+000
1.445439770745953e-025	8.511947e-025	5.888829e+000
1.513561248436235e-025	8.913104e-025	5.888829e+000
1.584893192461142e-025	9.333165e-025	5.888829e+000
1.659586907437590e-025	9.773023e-025	5.888829e+000
1.737800828749407e-025	1.023361e-024	5.888829e+000
1.819700858610016e-025	1.071591e-024	5.888829e+000
1.905460717963281e-025	1.122093e-024	5.888829e+000
1.995262314968916e-025	1.174976e-024	5.888829e+000
2.089296130854077e-025	1.230351e-024	5.888829e+000
2.187761623949593e-025	1.288335e-024	5.888829e+000
2.290867652767815e-025	1.349053e-024	5.888829e+000
2.398832919019535e-025	1.412632e-024	5.888829e+000
2.511886431509627e-025	1.479207e-024	5.888829e+000
2.630267991895431e-025	1.548920e-024	5.888829e+000
2.754228703338218e-025	1.621918e-024	5.888829e+000
2.884031503126660e-025	1.698357e-024	5.888829e+000
3.019951720402073e-025	1.778398e-024	5.888829e+000
3.162277660168439e-025	1.862211e-024	5.888829e+000
3.311311214825974e-025	1.949974e-024	5.888829e+000
3.467368504525383e-025	2.041874e-024	5.888829e+000
3.630780547701083e-025	2.138105e-024	5.888829e+000
3.801893963205685e-025	2.238870e-024	5.888829e+000
3.981071705535049e-025	2.344385e-024	5.888829e+000
4.168693834703435e-025	2.454872e-024	5.888829e+000
4.365158322401744e-025	2.570567e-024	5.888829e+000
4.570881896148839e-025	2.691714e-024	5.888829e+000
4.786300923226477e-025	2.818571e-024	5.888829e+000
5.011872336272821e-025	2.951406e-024	5.888829e+000
5.248074602497829e-025	3.090501e-024	5.888829e+000
5.495408738576354e-025	3.236152e-024	5.888829e+000
5.754399373371683e-025	3.388667e-024	5.888829e+000
6.025595860743697e-025	3.548370e-024	5.888829e+000
6.309573444802058e-025	3.715600e-024	5.888829e+000
6.606934480076092e-025	3.890710e-024	5.888829e+000
6.918309709189504e-025	4.074074e-024	5.888829e+000
7.244359600750047e-025	4.266079e-024	5.888829e+000
7.585775750291991e-025	4.467134e-024	5.888829e+000
7.943282347242976e-025	4.677663e-024	5.888829e+000
8.317637711026879e-025	4.898115e-024	5.888829e+000
8.709635899560984e-025	5.128955e-024	5.888829e+000
9.120108393559285e-025	5.370676e-024	5.888829e+000
9.549925860214557e-025	5.623788e-024	5.888829e+000
1.000000000000021e-024	5.888829e-024	5.888829e+000
1.047128548050921e-024	6.166361e-024	5.888829e+000
1.096478196143208e-024	6.456972e-024	5.888829e+000
1.148153621496907e-024	6.761280e-024	5.888829e+000
1.202264434617438e-024	7.079930e-024	5.888829e+000
1.258925411794194e-024	7.413596e-024	5.888829e+000
1.318256738556435e-024	7.762988e-024	5.888829e+000
1.380384264602914e-024	8.128846e-024	5.888829e+000
1.445439770745958e-024	8.511947e-024	5.888829e+000
1.513561248436241e-024	8.913103e-024	5.888829e+000
1.584893192461148e-024	9.333165e-024	5.888829e+000
1.659586907437597e-024	9.773023e-024	5.888829e+000
1.737800828749413e-024	1.023361e-023	5.888829e+000
1.819700858610023e-024	1.071591e-023	5.888829e+000
1.905460717963289e-024	1.122093e-023	5.888829e+000
1.995262314968923e-024	1.174976e-023	5.888829e+000
2.089296130854086e-024	1.230351e-023	5.888829e+000
2.187761623949601e-024	1.288335e-023	5.888829e+000
2.290867652767824e-024	1.349053e-023	5.888829e+000
2.398832919019544e-024	1.412632e-023	5.888829e+000
2.511886431509636e-024	1.479207e-023	5.888829e+000
2.630267991895441e-024	1.548920e-023	5.888829e+000
2.754228703338228e-024	1.621918e-023	5.888829e+000
2.884031503126671e-024	1.698357e-023	5.888829e+000
3.019951720402085e-024	1.778398e-023	5.888829e+000
3.162277660168452e-024	1.862211e-023	5.888829e+000
3.311311214825987e-024	1.949975e-023	5.888829e+000
3.467368504525396e-024	2.041874e-023	5.888829e+000
3.630780547701097e-024	2.138105e-023	5.888829e+000
3.801893963205700e-024	2.238870e-023	5.888829e+000
3.981071705535065e-024	2.344385e-023	5.888829e+000
4.168693834703451e-024	2.454873e-023	5.888829e+000
4.365158322401762e-024	2.570567e-023	5.888829e+000
4.570881896148858e-024	2.691714e-023	5.888829e+000
4.786300923226496e-024	2.818571e-023	5.888829e+000
