rload	V(out)	I(R3)
3.801893963205687e-015	2.238870e-014	5.888829e+000
3.981071705535052e-015	2.344385e-014	5.888829e+000
4.168693834703437e-015	2.454872e-014	5.888829e+000
4.365158322401747e-015	2.570567e-014	5.888829e+000
4.570881896148841e-015	2.691714e-014	5.888829e+000
4.786300923226479e-015	2.818571e-014	5.888829e+000
5.011872336272823e-015	2.951406e-014	5.888829e+000
5.248074602497832e-015	3.090501e-014	5.888829e+000
5.495408738576357e-015	3.236152e-014	5.888829e+000
5.754399373371687e-015	3.388667e-014	5.888829e+000
6.025595860743701e-015	3.548370e-014	5.888829e+000
6.309573444802062e-015	3.715600e-014	5.888829e+000
6.606934480076096e-015	3.890711e-014	5.888829e+000
6.918309709189508e-015	4.074074e-014	5.888829e+000
7.244359600750051e-015	4.266079e-014	5.888829e+000
7.585775750291996e-015	4.467134e-014	5.888829e+000
7.943282347242981e-015	4.677663e-014	5.888829e+000
8.317637711026884e-015	4.898114e-014	5.888829e+000
8.709635899560990e-015	5.128956e-014	5.888829e+000
9.120108393559291e-015	5.370676e-014	5.888829e+000
9.549925860214562e-015	5.623788e-014	5.888829e+000
1.000000000000021e-014	5.888829e-014	5.888829e+000
1.047128548050922e-014	6.166361e-014	5.888829e+000
1.096478196143209e-014	6.456973e-014	5.888829e+000
1.148153621496908e-014	6.761280e-014	5.888829e+000
1.202264434617439e-014	7.079930e-014	5.888829e+000
1.258925411794195e-014	7.413596e-014	5.888829e+000
1.318256738556436e-014	7.762989e-014	5.888829e+000
1.380384264602915e-014	8.128846e-014	5.888829e+000
1.445439770745959e-014	8.511947e-014	5.888829e+000
1.513561248436242e-014	8.913103e-014	5.888829e+000
1.584893192461149e-014	9.333165e-014	5.888829e+000
1.659586907437598e-014	9.773023e-014	5.888829e+000
1.737800828749414e-014	1.023361e-013	5.888829e+000
1.819700858610024e-014	1.071591e-013	5.888829e+000
1.905460717963290e-014	1.122093e-013	5.888829e+000
1.995262314968925e-014	1.174976e-013	5.888829e+000
2.089296130854087e-014	1.230351e-013	5.888829e+000
2.187761623949603e-014	1.288335e-013	5.888829e+000
2.290867652767826e-014	1.349053e-013	5.888829e+000
2.398832919019546e-014	1.412632e-013	5.888829e+000
2.511886431509638e-014	1.479207e-013	5.888829e+000
2.630267991895443e-014	1.548920e-013	5.888829e+000
2.754228703338230e-014	1.621918e-013	5.888829e+000
2.884031503126673e-014	1.698357e-013	5.888829e+000
3.019951720402087e-014	1.778398e-013	5.888829e+000
3.162277660168453e-014	1.862211e-013	5.888829e+000
3.311311214825989e-014	1.949974e-013	5.888829e+000
3.467368504525398e-014	2.041874e-013	5.888829e+000
3.630780547701100e-014	2.138105e-013	5.888829e+000
3.801893963205702e-014	2.238870e-013	5.888829e+000
3.981071705535067e-014	2.344385e-013	5.888829e+000
4.168693834703453e-014	2.454873e-013	5.888829e+000
4.365158322401764e-014	2.570567e-013	5.888829e+000
4.570881896148860e-014	2.691714e-013	5.888829e+000
4.786300923226498e-014	2.818571e-013	5.888829e+000
5.011872336272844e-014	2.951406e-013	5.888829e+000
5.248074602497853e-014	3.090501e-013	5.888829e+000
5.495408738576379e-014	3.236152e-013	5.888829e+000
5.754399373371709e-014	3.388667e-013	5.888829e+000
6.025595860743724e-014	3.548370e-013	5.888829e+000
6.309573444802087e-014	3.715600e-013	5.888829e+000
6.606934480076123e-014	3.890711e-013	5.888829e+000
6.918309709189536e-014	4.074074e-013	5.888829e+000
7.244359600750081e-014	4.266079e-013	5.888829e+000
7.585775750292027e-014	4.467134e-013	5.888829e+000
7.943282347243014e-014	4.677663e-013	5.888829e+000
8.317637711026919e-014	4.898115e-013	5.888829e+000
8.709635899561026e-014	5.128956e-013	5.888829e+000
9.120108393559328e-014	5.370676e-013	5.888829e+000
9.549925860214602e-014	5.623788e-013	5.888829e+000
1.000000000000025e-013	5.888829e-013	5.888829e+000
1.047128548050926e-013	6.166361e-013	5.888829e+000
1.096478196143213e-013	6.456973e-013	5.888829e+000
1.148153621496912e-013	6.761280e-013	5.888829e+000
1.202264434617444e-013	7.079930e-013	5.888829e+000
1.258925411794200e-013	7.413596e-013	5.888829e+000
1.318256738556441e-013	7.762988e-013	5.888829e+000
1.380384264602921e-013	8.128847e-013	5.888829e+000
1.445439770745965e-013	8.511948e-013	5.888829e+000
1.513561248436248e-013	8.913103e-013	5.888829e+000
1.584893192461155e-013	9.333165e-013	5.888829e+000
1.659586907437604e-013	9.773023e-013	5.888829e+000
1.737800828749421e-013	1.023361e-012	5.888829e+000
1.819700858610031e-013	1.071591e-012	5.888829e+000
1.905460717963298e-013	1.122093e-012	5.888829e+000
1.995262314968933e-013	1.174976e-012	5.888829e+000
